model,account.balance.report,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,display_name,char,,Display Name
3,__last_update,datetime,,Last Modified on
4,display_account,selection,,Display Accounts
5,date_from,date,,Start Date
6,journal_ids,many2many,account.journal,Journals
7,company_id,many2one,res.company,Company
8,write_date,datetime,,Last Updated on
9,date_to,date,,End Date
10,create_date,datetime,,Created on
11,write_uid,many2one,res.users,Last Updated by
12,id,integer,,ID
13,target_move,selection,,Target Moves
,,,,
,,,,
,,,,
