model,purchase.report,transient,False
no,field,type,relation,string
1,weight,float,,Gross Weight
2,currency_id,many2one,res.currency,Currency
3,delay_pass,float,,Days to Deliver
4,date_order,datetime,,Order Date
5,partner_id,many2one,res.partner,Vendor
6,id,integer,,ID
7,delay,float,,Days to Validate
8,price_standard,float,,Products Value
9,user_id,many2one,res.users,Responsible
10,product_uom,many2one,product.uom,Reference Unit of Measure
11,picking_type_id,many2one,stock.warehouse,Warehouse
12,country_id,many2one,res.country,Partner Country
13,company_id,many2one,res.company,Company
14,product_tmpl_id,many2one,product.template,Product Template
15,state,selection,,Order Status
16,fiscal_position_id,many2one,account.fiscal.position,Fiscal Position
17,account_analytic_id,many2one,account.analytic.account,Analytic Account
18,negociation,float,,Purchase-Standard Price
19,price_average,float,,Average Price
20,volume,float,,Volume
21,nbr_lines,integer,,# of Lines
22,display_name,char,,Display Name
23,unit_quantity,float,,Product Quantity
24,date_approve,date,,Date Approved
25,price_total,float,,Total Price
26,product_id,many2one,product.product,Product
27,__last_update,datetime,,Last Modified on
28,category_id,many2one,product.category,Product Category
29,commercial_partner_id,many2one,res.partner,Commercial Entity
,,,,
,,,,
,,,,
