model,account.reconcile.model.template,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
2,create_date,datetime,,Created on,datetime,,Created on,False,both
3,name,char,,Button Label,char,,Button Label,True,both
4,sequence,integer,,Sequence,integer,,Sequence,True,both
5,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
6,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
7,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
8,display_name,char,,Display Name,char,,Display Name,False,both
9,id,integer,,ID,integer,,ID,False,both
,,,,
10,second_account_id,many2one,account.account.template,Second Account,,,,False,version 1
11,account_id,many2one,account.account.template,Account,,,,False,version 1
12,second_amount_type,selection,,Second Amount type,,,,True,version 1
13,tax_id,many2one,account.tax.template,Tax,,,,False,version 1
14,amount_type,selection,,Amount type,,,,True,version 1
15,second_tax_id,many2one,account.tax.template,Second Tax,,,,False,version 1
16,has_second_line,boolean,,Add a second line,,,,False,version 1
17,label,char,,Journal Item Label,,,,False,version 1
18,amount,float,,Amount,,,,True,version 1
19,second_label,char,,Second Journal Item Label,,,,False,version 1
20,second_amount,float,,Second Amount,,,,True,version 1
,,,,
21,match_text_location_note,,,,boolean,,Match Text Location Note,False,version 2
22,decimal_separator,,,,char,,Decimal Separator,False,version 2
23,match_transaction_type_param,,,,char,,Transaction Type Parameter,False,version 2
24,match_same_currency,,,,boolean,,Same Currency Matching,False,version 2
25,match_text_location_reference,,,,boolean,,Match Text Location Reference,False,version 2
26,match_note_param,,,,char,,Note Parameter,False,version 2
27,matching_order,,,,selection,,Matching Order,False,version 2
28,auto_reconcile,,,,boolean,,Auto-validate,False,version 2
29,match_amount_max,,,,float,,Amount Max Parameter,False,version 2
30,match_total_amount_param,,,,float,,Amount Matching %,False,version 2
31,match_journal_ids,,,,many2many,account.journal,Journals,False,version 2
32,match_nature,,,,selection,,Amount Nature,True,version 2
33,match_amount,,,,selection,,Amount,False,version 2
34,match_partner,,,,boolean,,Partner Is Set,False,version 2
35,match_transaction_type,,,,selection,,Transaction Type,False,version 2
36,match_label_param,,,,char,,Label Parameter,False,version 2
37,match_partner_category_ids,,,,many2many,res.partner.category,Restrict Partner Categories to,False,version 2
38,match_note,,,,selection,,Note,False,version 2
39,match_amount_min,,,,float,,Amount Min Parameter,False,version 2
40,rule_type,,,,selection,,Type,True,version 2
41,chart_template_id,,,,many2one,account.chart.template,Chart Template,True,version 2
42,match_total_amount,,,,boolean,,Amount Matching,False,version 2
43,match_text_location_label,,,,boolean,,Match Text Location Label,False,version 2
44,match_partner_ids,,,,many2many,res.partner,Restrict Partners to,False,version 2
45,line_ids,,,,one2many,account.reconcile.model.line.template,Line,False,version 2
46,match_label,,,,selection,,Label,False,version 2
47,to_check,,,,boolean,,To Check,False,version 2
,,,,
,,,,
