model,calendar.contacts,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
1,create_uid,many2one,res.users,Created by,many2one,res.users,Created by,False,both
1,user_id,many2one,res.users,Me,many2one,res.users,Me,True,both
1,__last_update,datetime,,Last Modified on,datetime,,Last Modified on,False,both
1,write_uid,many2one,res.users,Last Updated by,many2one,res.users,Last Updated by,False,both
1,write_date,datetime,,Last Updated on,datetime,,Last Updated on,False,both
1,active,boolean,,Active,boolean,,Active,False,both
1,create_date,datetime,,Created on,datetime,,Created on,False,both
1,partner_id,many2one,res.partner,Employee,many2one,res.partner,Employee,True,both
1,id,integer,,ID,integer,,ID,False,both
1,display_name,char,,Display Name,char,,Display Name,False,both
,,,,
,,,,
,,,,
,,,,
